Instance,k,Population,Fitness,Time,Initialization
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/glasgow.txt,2,100,93,177.16,80.51
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/cardiff.txt,2,200,80,299.5,122.45
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/belfast.txt,2,100,79,465.28,198.18
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/belfast.txt,2,100,79,454.57,199.86
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/belfast.txt,2,100,77,479.13,197.03
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/cardiff.txt,2,200,79,349.19,120.77
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/cardiff.txt,2,200,79,340.1,128.74
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/coventry.txt,2,200,74,310.22,138.58
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/coventry.txt,2,200,74,305.54,140.31
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/exeter.txt,2,150,78,254.89,132.95
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/leicester.txt,2,50,79,150.79,70.68
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/leeds.txt,2,50,82,202.95,82.29
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/leeds.txt,2,50,82,225.17,85.33
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/exeter.txt,2,150,77,310.24,140.85
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/leicester.txt,2,50,79,174.56,69.23
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/exeter.txt,2,150,78,280.24,134.84
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/glasgow.txt,2,150,95,228.12,120.58
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/liverpool.txt,2,50,60,104.33,45.4
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/liverpool.txt,2,50,60,110.4,43.66
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/coventry.txt,2,200,74,369.4,146.44
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bristol.txt,2,150,74,485.1,191.88
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/coventry.txt,2,200,73,382.67,136.24
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/glasgow.txt,2,150,95,248.41,121.24
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/leicester.txt,2,50,77,192.79,68.68
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/leeds.txt,2,50,82,236.5,87.51
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/leicester.txt,2,50,78,193.58,70.49
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/coventry.txt,2,200,73,382.05,144.59
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/exeter.txt,2,150,78,308.73,133.36
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/glasgow.txt,2,150,94,269.84,123.89
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/liverpool.txt,2,50,60,134.77,47.78
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/glasgow.txt,2,150,94,274.07,129.78
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/glasgow.txt,2,150,94,265.94,118.44
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/leeds.txt,2,50,81,261.38,93.31
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/exeter.txt,2,150,77,323.22,138.3
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/leeds.txt,2,50,81,271.88,91.53
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/leicester.txt,2,50,77,207.15,67.32
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/liverpool.txt,2,50,57,146.83,48.05
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bristol.txt,2,150,74,530.83,190.25
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/liverpool.txt,2,50,58,157.26,44.76
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bristol.txt,2,150,74,532.65,196.77
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bristol.txt,2,150,73,547.96,190.64
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/bristol.txt,2,150,74,600.66,198.19
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/glasgow.txt,2,200,94,329.29,159.72
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/belfast.txt,2,150,80,623.62,294.21
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/glasgow.txt,2,200,94,323.05,159.79
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/liverpool.txt,2,100,59,204.88,100.17
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/exeter.txt,2,200,79,389.56,178.43
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/glasgow.txt,2,200,94,337.88,161.19
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/belfast.txt,2,150,78,633.32,298.29
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/newcastle.txt,2,50,87,77.45,36.52
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/liverpool.txt,2,100,60,213.77,88.94
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/newcastle.txt,2,50,88,92.98,40.86
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/newcastle.txt,2,50,85,88.87,38.77
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/newcastle.txt,2,50,89,88.37,40.55
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/glasgow.txt,2,200,95,355.57,153.98
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/newcastle.txt,2,50,87,100.33,39.89
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/belfast.txt,2,150,79,677.1,295.55
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/liverpool.txt,2,100,58,224.95,88.19
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/exeter.txt,2,200,78,414.47,179.19
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/belfast.txt,2,150,79,657.86,306.01
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/liverpool.txt,2,100,61,221.58,93.24
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/liverpool.txt,2,100,59,235.34,89.74
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/exeter.txt,2,200,77,418.72,187.6
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/belfast.txt,2,150,78,687.31,296.88
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/glasgow.txt,2,200,94,372.84,154.54
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/leeds.txt,2,100,81,345.39,171.92
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/exeter.txt,2,200,77,422.76,201.2
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/leicester.txt,2,100,77,291.17,134.86
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/leicester.txt,2,100,76,313.24,136.94
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/leeds.txt,2,100,81,363.78,175.2
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/leeds.txt,2,100,80,376.25,173.2
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/leicester.txt,2,100,76,327.88,146.41
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/exeter.txt,2,200,77,463.41,187.29
/home1/djukanovic/lcps/src/srcAugust/lcps/src/k-domination/instances/leeds.txt,2,100,82,378.4,186.23
